Gene ID,Vector_1,Vector_2,Vector_3,EGFP_1,EGFP_2,EGFP_3,PolyD_1,PolyD_2,PolyD_3,PolyE_1,PolyE_2,PolyE_3
YDR484W,12.802234,11.778106,15.729425,17.338747,13.595733,10.856258,14.867855,15.931322,14.803841,13.180364,16.087742,14.782803
YDR485C,12.647364,12.479868,15.209896,18.201952,18.15542,11.213565,16.422922,17.035257,17.5165,10.707861,13.998208,12.784471
YDR486C,64.907623,66.01844,74.564728,69.329781,57.944515,50.73423,62.916618,66.812378,66.272141,52.137657,61.942272,60.426899
YDR487C,413.481873,429.079956,466.014557,337.30188,306.170135,291.579376,328.293762,323.86554,308.75705,322.424194,306.949493,312.889618
YDR488C,13.43948,17.08742,16.18527,15.408515,10.833054,10.527109,14.607494,13.95144,12.871408,10.53555,13.237648,11.000185
YDR489W,34.270493,27.859402,34.703468,29.653204,27.105036,27.229342,32.528584,32.844761,33.239201,29.047951,36.668541,29.782242
YDR490C,27.215548,25.638659,34.478004,32.125038,26.525154,20.770208,28.341171,27.282568,29.261654,24.868055,26.105341,26.199402
YDR491C,48.033802,40.169518,45.670727,34.434986,34.860798,33.100307,48.598747,40.285027,52.215553,36.150745,43.738335,40.829933
YDR492W,124.468353,115.877747,115.026344,98.078392,87.359001,86.666145,123.840912,93.815163,114.598137,91.196495,112.379303,105.140892
YDR493W,49.066147,41.865044,46.511982,40.041451,34.789013,32.063606,41.989166,44.258797,41.385437,38.949718,43.478683,41.966824
YDR494W,32.933727,26.326708,35.006248,32.813587,29.785681,22.190886,31.511948,29.451561,27.043585,26.196407,31.673937,28.547863
YDR495C,8.297735,6.595505,10.633339,9.669204,9.120137,5.905707,9.50602,9.232783,8.976584,6.453549,8.250301,8.851321
YDR496C,43.695908,39.200642,35.293129,37.966747,32.828705,23.210697,36.763355,38.05991,40.49128,26.704645,47.988956,42.893246
YDR497C,445.356628,488.55246,456.126221,299.022614,258.498322,260.569702,337.488861,349.841125,291.658447,410.812439,380.514282,400.306335
YDR498C,31.025459,27.613651,33.763195,32.413784,28.747841,23.562237,33.362671,29.972708,34.102383,27.327957,33.124031,33.385395
YDR499W,10.144127,9.806941,14.48303,10.796057,10.191155,7.486573,10.889193,11.123725,10.543543,9.211163,10.983879,10.714125
YDR500C,3994.784912,4762.850098,3051.870117,2247.04541,2298.75415,3311.155762,2870.839111,2754.295166,2776.611572,3337.36499,3097.634277,3031.445312
YDR501W,12.546565,10.832139,12.939327,11.65445,10.89326,9.264712,13.51971,14.126728,13.883783,10.594631,12.7506,12.737721
YDR502C,159.196793,162.768967,189.372299,85.860779,85.447006,100.505295,119.877632,118.978928,101.223122,126.684731,119.36393,125.399643
YDR503C,57.573345,57.623478,69.995026,42.51424,41.203342,38.844231,51.118542,49.640724,46.017963,52.568062,46.947773,49.623413
YDR504C,11.685187,7.132329,13.943464,17.455065,17.566257,12.608919,23.367342,19.353882,22.06221,16.499331,14.755885,20.51857
YDR505C,26.439114,26.758003,39.195354,43.545658,39.182083,34.000702,32.206635,32.124634,32.566692,27.350937,30.170456,32.760777
YDR506C,11.105367,11.573759,17.285704,18.037416,13.99899,12.561376,15.258106,15.002707,17.02286,13.061222,15.915845,14.673787
