Gene ID,Vector_1,Vector_2,Vector_3,EGFP_1,EGFP_2,EGFP_3,PolyI_1,PolyI_2,PolyI_3
YJR007W,74.979568,57.323669,172.869064,50.20919,78.035454,93.485054,127.207657,120.489967,131.955185
YJR008W,16.931705,8.570107,9.631704,12.060475,25.138031,13.433982,23.682491,20.871067,23.431772
YJR009C,5457.25,6148.719727,4959.346191,8168.774414,8641.540039,7373.133789,5906.539551,5913.310547,7427.120605
YJR010W,16.995771,13.559314,43.051102,4.736427,7.129847,5.968747,11.039558,12.29551,11.367933
YJR010C-A,40.049088,19.292543,48.670692,22.652554,32.320423,33.483192,15.6718,17.963326,19.009706
YJR011C,9.936591,6.602662,12.638141,7.953161,11.798421,7.552638,8.461829,6.783711,10.084947
YJR012C,10.826468,5.611557,12.29127,6.296021,6.340494,6.54734,8.987938,9.174,9.050765
YJR013W,21.287191,9.923922,21.319086,9.704594,17.06958,19.590586,19.321445,21.82486,17.393373
YJR014W,101.846825,82.20858,127.15509,37.840767,40.121086,48.587761,85.581184,63.580292,82.232643
YJR015W,80.178497,57.93914,69.521484,46.767311,60.772907,88.86277,68.027077,77.028511,70.947121
YJR016C,538.522095,1099.720703,515.619873,227.960663,228.351944,201.416565,258.104004,240.62384,214.625137
YJR017C,149.797211,142.534073,123.365227,68.816635,65.678711,61.063389,90.216873,125.378159,115.647171
YJR018W,18.232269,19.951376,22.482309,4.369789,5.59667,5.52892,8.14015,11.250082,13.615172
YJR019C,172.307037,255.856903,84.096107,341.596069,240.714157,161.651047,197.424591,171.269836,156.263016
YJR020W,31.79903,41.595779,12.429,45.036274,25.301653,24.105148,21.613104,19.851837,16.646204
YJR021C,14.420646,12.366368,10.581268,6.548136,7.958129,8.629124,8.152588,7.232963,7.018931
YJR022W,1.317826,0.29999,2.331603,0.816259,0.439379,0.619288,1.059695,0.416799,0.581998
YJR023C,7.397787,6.020575,8.56415,5.382888,4.435103,4.309307,6.011548,4.827488,6.633934
YJR024C,110.200455,160.60672,112.115623,124.547104,127.304169,92.024269,133.909988,156.635208,145.216629
YJR025C,277.872131,241.246811,195.781281,62.663525,70.196106,43.084625,112.496292,113.205887,109.431908
YJR026W,6.991981,8.714242,8.698201,14.16417,24.328009,22.325825,28.932632,22.380835,24.203606
YJR027W,11.333555,18.614288,18.475357,6.100258,7.281623,7.878227,15.092886,12.659398,13.127811
YJR028W,2.176204,4.348776,4.149208,9.767457,18.913731,13.923492,14.257692,11.344325,13.503226
YJR029W,17.776854,22.590578,24.812511,7.994405,8.58961,10.34561,19.734673,15.528154,15.195222
YJR030C,7.148802,5.879138,7.342442,6.612387,7.22042,10.817593,7.64263,7.949468,7.500567
YJR031C,3.03647,2.937364,4.104116,4.577855,5.578355,7.204532,6.813374,5.732541,6.760188
YJR032W,7.696763,3.529484,14.217666,4.17633,6.049958,7.692663,8.903353,8.923338,9.97353
YJR033C,3.315316,2.472726,3.527878,5.009399,5.885059,6.010564,8.430775,8.207664,7.977157
YJR034W,16.972015,9.554073,22.034101,4.668759,9.096839,7.943478,13.919516,14.018648,15.320293
YJR035W,1.13689,1.540381,1.382483,0.862738,0.849248,1.433888,2.402242,2.064167,1.857474
YJR036C,1.405422,0.640645,0.917779,1.040454,1.206483,0.716998,2.052396,2.042991,2.039254
YJR037W,0.078701,0,0.176311,0.336937,0.237515,0.282643,0.444733,0.390117,0.610144
YJR038C,0.173065,0.433725,0.63494,0.813015,1.303485,0.781766,1.98481,0.528658,0.547915
YJR039W,4.581726,3.650289,3.890397,4.589019,5.213283,4.555405,10.214788,9.163672,9.383727
YJR040W,27.827946,23.850628,23.400686,24.87221,25.714979,36.981583,32.959362,30.686735,29.429522
YJR041C,4.300903,3.070357,9.326886,5.035939,7.98049,10.77471,11.45827,9.501062,10.971552
YJR042W,5.723249,2.885086,12.210636,5.747398,8.543676,9.894363,12.334045,12.937814,12.084172
YJR043C,6.657104,4.404891,12.010443,2.274714,4.71148,5.411617,4.261551,3.945749,3.449291
tM(CAU)J3,0,0,0,0,0,0,0,0,0
YJR044C,380.886414,293.392303,232.873627,180.701202,245.021225,195.944305,296.718597,354.389252,310.244904
YJR045C,245.855438,272.550018,246.298096,260.31189,250.961105,359.846191,458.426147,414.101837,417.75235
YJR046W,14.670779,12.126724,17.644796,15.278897,15.671813,20.393677,42.311184,39.977261,39.03392
tS(AGA)J,0.090898,0,0,0,0,0,0,0,0
YJR047C,25.568338,18.454348,55.398117,4.302991,5.12315,8.100045,5.855875,7.463845,5.849035
YJR048W,78.941956,67.499115,68.548912,50.613735,60.320335,65.972588,54.324257,54.588661,61.09211
YJR049C,5.461679,5.537841,7.401759,4.369937,6.524169,7.497782,11.519847,11.094893,11.597278
YJR050W,8.006657,1.933336,10.788732,2.191568,4.453488,6.451425,5.327649,5.317571,5.423591
YJR051W,17.052362,11.283463,19.101494,11.210238,16.267885,17.390068,21.454147,20.084446,19.274153
tG(GCC)J2,0.242039,0.138668,0.154274,0,0,0,0,0.201108,0.165779
YJR052W,3.333087,1.466444,3.323599,1.880626,2.482059,3.595714,6.250096,6.282492,5.949073
YJR053W,9.282827,5.656791,6.58137,3.781711,3.455561,4.291633,1.692469,2.860121,1.787533
YJR054W,9.288903,5.752076,13.012848,6.671619,8.83101,10.002624,8.925216,7.833248,7.417812
tR(CCU)J,0,0,0,0.168285,0,0.713777,0,0.165368,0
YJR055W,6.233999,3.809468,12.023408,3.448019,8.497854,8.652383,8.273897,9.274397,9.801399
tD(GUC)J4,0.178289,0,0,0,0,0,0.208406,0,0
YJR056C,7.443728,1.780613,9.416625,2.879019,4.668828,6.173496,8.765893,8.393573,10.071102
tY(GUA)J2,0,0,0.262342,0,0,0,0,0,0
YJR057W,28.526762,20.898041,36.267597,17.676481,21.175127,21.704363,27.90513,22.474445,27.399975
YJR058C,49.707176,19.082993,45.044178,22.621395,34.697205,32.25301,48.041996,54.543365,52.270309
YJR059W,11.874806,10.728152,8.001156,9.041645,9.167103,9.43212,16.505974,17.372007,14.666133
YJR060W,4.928929,5.516387,9.783669,5.165548,6.653144,8.540412,6.570419,6.832654,6.343767
YJR061W,22.459988,26.667862,12.746499,17.972513,11.485673,15.537936,23.08951,22.234978,21.756077
YJR062C,16.670458,25.111116,22.19009,17.255619,21.508362,22.734043,44.92194,45.348804,42.229504
YJR063W,66.020592,31.224642,128.228882,31.391886,46.546474,48.157845,78.328453,72.900826,83.08004
YJR064W,49.46199,29.782444,74.295059,22.316835,35.900536,39.113377,89.540253,85.057762,91.60302
YJR065C,137.618973,110.97522,132.662872,156.338226,173.466003,190.160889,271.541229,264.401001,266.538116
YJR066W,2.475661,2.643095,2.344791,3.019272,4.032149,4.575074,4.645145,3.816491,4.314611
